document_id,cluster_id,source_group,category,char_count
doc_175f9173ac3e0fd7,near_0147,raib,infrastructure,6839
doc_17b2fbb5271da184,near_0148,cn,other,15563
doc_17cabefe0cf14841,near_0149,cn,other,1175
doc_17da4d2d7c57a29c,near_0150,cn,other,17389
doc_17f4a4259d607fba,near_0151,cn,other,6813
doc_17f5b7ceba9fcf79,near_0152,raib,collision,83809
doc_18b0b70d1e83866e,near_0153,cn,other,20293
doc_18c05a68b7aff618,near_0154,cn,management,20704
doc_18f1b8b1781102b5,near_0155,cn,other,2253
doc_1944343ce47b01c4,near_0156,cn,other,77060
doc_1945e3fbd04be4c3,near_0157,cn,construction,3249
doc_195b99bd03ab3508,near_0158,cn,other,52476
doc_1980049cf1a2e1c4,near_0159,cn,other,1580
doc_198ad58fce490b3f,near_0160,cn,other,3972
doc_19bfa64cc2a85eb0,near_0161,cn,other,13053
doc_19cb9d516093b1ae,near_0162,cn,other,6902
doc_19e4e2ebabf35579,near_0163,raib,signal_or_spad,95420
doc_19ea4ad05cdb7c56,near_0164,cn,emergency_drill,20695
doc_1a177eddcea4835d,near_0165,cn,construction,11580
doc_1a788a49b5ea0237,near_0166,cn,other,152451
doc_1ab056ff1bb8f72b,near_0167,cn,fire,1512
doc_1ace2b6c800725b8,near_0168,cn,other,23427
doc_1b2c9efa6c138930,near_0169,cn,other,14186
doc_1b2e8e30fa21f400,near_0170,raib,level_crossing,10231
doc_1b5c710d9dfc072d,near_0171,cn,other,46896
doc_1b82eec66e9a970a,near_0172,cn,construction,13367
doc_1bb1309d8f7ae858,near_0173,cn,hazardous_material,1647
doc_1be40d0b7a4ba556,near_0174,cn,construction,22743
doc_1bfb433e25e01a4d,near_0175,cn,construction,7042
doc_1c0fd2cffa09905f,near_0176,cn,other,1885
doc_1cc033a2c6474d77,near_0177,cn,other,3279
doc_1ce20846f4ca65ec,near_0178,cn,other,2255
doc_1d39c5133e50ccd6,near_0179,cn,other,7294
doc_1d908e6dc8debaa7,near_0180,cn,other,12004
doc_1dafefa09ebb322d,near_0181,cn,other,15252
doc_1dfbbc8906b86a5c,near_0182,raib,derailment,7707
doc_1e177bb6822d9a59,near_0183,cn,other,7232
doc_1f08d36a2a3d945b,near_0184,cn,hazardous_material,8592
doc_1f1b3c4adea24ed4,near_0185,cn,other,4841
doc_1f1ccdd6a4b13482,near_0186,cn,other,1623
doc_1f1ccff7f534b0b8,near_0187,cn,management,36516
doc_1f528e4dab2691e2,near_0188,cn,other,33963
doc_1f53bc0dddc99bf0,near_0189,cn,emergency_drill,9641
doc_1f72849b034c6ccc,near_0190,raib,collision,39238
doc_1fb4a30f726f667f,near_0191,cn,other,7968
doc_1fbde1661b404fec,near_0192,raib,collision,116458
doc_1fe8ecb6185e1799,near_0193,cn,hazardous_material,1978
doc_1ff6adebd86d2774,near_0194,raib,collision,239594
doc_2055721f1647a94f,near_0195,cn,other,91726
doc_205688c0f45ed87e,near_0196,cn,other,4908
doc_2058695296e3b79b,near_0197,raib,collision,8834
doc_206c0a1ade594082,near_0198,cn,other,9197
doc_207c68764d4d12ca,near_0199,cn,fire,9664
doc_21063424c60691e4,near_0200,cn,other,8827
doc_2134faef82989de0,near_0201,cn,emergency_drill,2667
doc_2146c3506fb73a2b,near_0202,cn,construction,1405
doc_214f21930f2d4e09,near_0203,cn,other,2459
doc_217eaf22562a629d,near_0204,cn,other,6957
doc_2191ad9e1359e03b,near_0205,cn,other,3239
doc_21bfc13da491cfa0,near_0206,cn,management,6854
doc_21c3f0873f7ef549,near_0207,cn,other,7249
doc_21c5401ffb462966,near_0208,cn,management,1852
doc_21ee7a6922c50324,near_0209,cn,construction,4271
doc_21fb6f00749b1540,near_0210,cn,other,8459
doc_22390fb139c853ab,near_0211,cn,other,3517
doc_7f1c2a3df06b9e67,near_0211,cn,other,3517
doc_2268cbfb862e7bbc,near_0212,cn,other,11957
doc_231ee512737b53e3,near_0213,cn,fire,5581
doc_2342746f1720f8c2,near_0214,cn,other,851597
doc_2356438c72605f5c,near_0215,raib,signal_or_spad,66597
doc_236ce7ec4142a7ef,near_0216,cn,construction,3395
doc_238959f9ffbc4532,near_0217,cn,other,2443
doc_23b8856fd37dd3a6,near_0218,cn,other,10170
doc_23cc63ab68e069de,near_0219,cn,fire,5704
doc_241107a6dc8db231,near_0220,cn,other,23307
doc_2496b21d6d25c395,near_0221,cn,other,2128
doc_24a49d78ced8d0bf,near_0222,cn,hazardous_material,21913
doc_24ef1a5cc0fae0fe,near_0223,cn,other,11497
doc_253b61806fcfeb9f,near_0224,cn,other,6851
doc_25f3964fdc399a2c,near_0225,raib,collision,53797
doc_25fd564db4e496d5,near_0226,cn,fire,10677
doc_25fdf7cd60d01c7d,near_0227,cn,other,8272
doc_2607039c30a9dd5c,near_0228,cn,fire,5447
doc_2616f30da7b3c252,near_0229,cn,other,10115
doc_26a9a4bc1e42b9c8,near_0230,raib,derailment,36566
doc_26b53de6a21823ef,near_0231,cn,other,12286
doc_26be822066ffc570,near_0232,raib,derailment,58513
doc_2710a70964bbe679,near_0233,cn,construction,3732
doc_273e49e7a9d3fc83,near_0234,cn,other,8292
doc_274307ca34695400,near_0235,cn,other,7510
doc_5fc7801ee524e73e,near_0235,cn,other,7510
doc_274ca24b2cf37162,near_0236,cn,other,5014
doc_277eedf26290a1c5,near_0237,raib,collision,122035
doc_2787dbd7ed0d3ac8,near_0238,cn,fire,2724
doc_279323a12be2dc04,near_0239,raib,collision,73656
doc_27aae7a52cee2cda,near_0240,raib,collision,110226
doc_27bce0cd4e8a79e5,near_0241,cn,construction,767
doc_27d14c5c07086556,near_0242,cn,other,694
doc_27d467fc50ee2487,near_0243,cn,other,6029
doc_283a98ca14c523ed,near_0244,cn,other,17595
doc_2866821116e2b214,near_0245,cn,other,12337
doc_287e062a177a7cd8,near_0246,cn,construction,9981
doc_28aa966deb007498,near_0247,cn,other,12463
doc_28d90897a34362ae,near_0248,cn,other,21238
doc_28fafda761399d46,near_0249,cn,other,2170
doc_2900b0a61e97adb5,near_0250,cn,other,16826
doc_295a53bcf1c99f79,near_0251,cn,other,11752
doc_295f12972bcc6868,near_0252,cn,other,8599
doc_297573e5f2b89890,near_0253,cn,other,14926
doc_29860e58aba0a9e1,near_0254,cn,other,3598
doc_29aabf9c49bc1a9d,near_0255,cn,other,6659
doc_29c9a873f85b062e,near_0256,raib,derailment,164185
doc_2a17619d0222edc9,near_0257,cn,fire,3942
doc_2a2d4bc845be557a,near_0258,cn,other,12177
doc_2a6513b36520c955,near_0259,cn,emergency_drill,2202
doc_2ac46071be8f29ea,near_0260,cn,fire,3046
doc_2ae0d3d0b4ddd3e3,near_0261,cn,other,10440
doc_2b025e5d31dc05ee,near_0262,raib,derailment,8719
doc_2b2ad084201b37aa,near_0263,cn,construction,11771
doc_2b5af1d2e04f9444,near_0264,raib,collision,74470
doc_2b88c3ba3c2dac44,near_0265,cn,other,3694
doc_2bb8969dcf5bce45,near_0266,cn,construction,8030
doc_2bd614201c094232,near_0267,raib,collision,87826
doc_2c537beb8b03453f,near_0268,cn,other,3678
doc_7a5fad6737e44f2a,near_0268,cn,other,3678
doc_2c53b0c296e939a9,near_0269,cn,other,14971
doc_2c92e695bad21ef4,near_0270,cn,other,17960
doc_2ce52f2b7893f33d,near_0271,cn,other,2743
doc_2d410e37bf5e115d,near_0272,cn,management,11381
doc_2d493d3388f392e4,near_0273,cn,construction,18034
doc_2d49e84f3faf755d,near_0274,cn,other,6915
doc_2da336ae3f66d391,near_0275,cn,other,10122
doc_2dcc79d1d9882c4f,near_0276,cn,emergency_drill,2142
doc_2e1857523bfa813c,near_0277,cn,management,3235
doc_2e35b41919d94e28,near_0278,cn,other,230
doc_2e60debe526e9c77,near_0279,cn,other,340
doc_2e990aa64e3ee886,near_0280,raib,derailment,73825
doc_2ec1694cac8c82aa,near_0281,cn,emergency_drill,10067
doc_2ed6823754eb0ace,near_0282,raib,collision,166948
doc_2f2da072f5928c6c,near_0283,cn,other,2642
doc_2f64b4eb11605f47,near_0284,raib,signal_or_spad,99214
doc_2f774f60f1e258d8,near_0285,cn,other,1080
doc_2f7b6cb376c39262,near_0286,cn,other,4720
doc_2f86f983b6dd50cc,near_0287,cn,other,9933
doc_2fbaf575c74db6df,near_0288,cn,other,1722
doc_2fee46aa4bcccb80,near_0289,cn,emergency_drill,1816
doc_3053c921b92bcbe1,near_0290,raib,collision,118916
doc_30553d3b4824e003,near_0291,raib,collision,6959
doc_3069c2345d2d9747,near_0292,cn,construction,60150
doc_3081473029f75973,near_0293,raib,collision,65942
doc_30a8516a8cf714bd,near_0294,cn,other,39299
doc_30b1f9a42936b1b2,near_0295,cn,other,11854
doc_30c6f93027236803,near_0296,raib,collision,4005
doc_310091e979956ded,near_0297,cn,hazardous_material,16021
doc_311c2d6566bd2e73,near_0298,cn,other,13986
doc_3138f08ada1e861f,near_0299,cn,other,144064
doc_31574e59c1262aff,near_0300,raib,collision,74139
doc_316e439819eeba24,near_0301,cn,other,3637
doc_31784417e534b33c,near_0302,cn,other,2818
doc_318de4902d827df6,near_0303,cn,other,51176
doc_31ac4f18703eceb7,near_0304,cn,other,1309
doc_321eb42b3259e27d,near_0305,cn,other,1218
doc_32213b626767ef11,near_0306,cn,other,11792
doc_322c07f2cea47449,near_0307,cn,management,7311
doc_3264535a59dcb09f,near_0308,cn,other,6872
doc_3265ba15bc26a3b5,near_0309,cn,other,6836
doc_328a3cfeefc6fa2c,near_0310,cn,other,6868
doc_32b1c0b58ddd1299,near_0311,cn,fire,6041
doc_32c31c933b30392a,near_0312,cn,other,2006
doc_32c6d85b72ff97e6,near_0313,cn,other,8793
doc_32d42f2d39c6a845,near_0314,raib,derailment,7513
doc_33028769a50b4346,near_0315,cn,other,2721
doc_330545c87b47af9c,near_0316,cn,other,2237
doc_33097c068f6ab1f0,near_0317,cn,management,6602
doc_331d3efdf8a22686,near_0318,raib,derailment,74809
doc_333bb459338d166b,near_0319,cn,other,2997
doc_33494630f869868d,near_0320,raib,derailment,68649
doc_338feee57be46181,near_0321,cn,other,29825
doc_33b5945a8e10c530,near_0322,cn,emergency_drill,2184
doc_33e4355676216736,near_0323,cn,management,3884
doc_3438119b8e0556d3,near_0324,raib,fire,145805
doc_3442ccd56f38ac20,near_0325,cn,other,136044
doc_345fbce0f15d4d94,near_0326,cn,hazardous_material,3076
doc_348206ba122782f5,near_0327,raib,collision,4697
doc_34a1473684d41b77,near_0328,cn,other,8282
doc_34a1588c4bd9fd5c,near_0329,cn,other,1470
doc_34b21cf5e6e1b73b,near_0330,raib,collision,42131
doc_34b7ba3c8865766f,near_0331,cn,hazardous_material,58932
doc_34d342c5da307cf9,near_0332,raib,collision,69293
doc_353497e3cd506a74,near_0333,raib,level_crossing,9267
doc_353ec8c2a117a3df,near_0334,cn,other,83205
doc_35514d8d23f1683a,near_0335,cn,management,908
doc_35a2a4e6345fe39d,near_0336,cn,other,2994
doc_35a370afe4810801,near_0337,raib,fire,105277
doc_35beed6e00ebadbe,near_0338,raib,collision,75071
doc_361ad675b76bab96,near_0339,cn,other,26942
doc_364a6cc30c6bd12b,near_0340,cn,other,5977
doc_3688aeb261ac945a,near_0341,cn,other,1581
doc_3708b1179f19abd6,near_0342,cn,fire,4887
doc_375add05a4dc4d8b,near_0343,cn,other,6613
doc_37969665714f633a,near_0344,raib,signal_or_spad,93351
doc_37a09f89706fc6cd,near_0345,cn,other,4755
doc_37d43a71c780c439,near_0346,cn,other,2847
doc_37f4b53d12e8d509,near_0347,raib,collision,7362
doc_37f579810397af33,near_0348,cn,other,13307
doc_37f5e1cf14bd6280,near_0349,raib,fire,79560
doc_382f4efcf24b7040,near_0350,cn,hazardous_material,5722
doc_3850037cdc18aee7,near_0351,cn,other,23961
doc_38baca5a9a8c3dcd,near_0352,raib,collision,9011
doc_27f9578db210f943,near_0353,cn,other,1603
doc_3903a219b6ae2679,near_0353,cn,other,1603
doc_3904dc47ee8e3b1e,near_0354,raib,collision,72700
doc_399c1e0265b76b9a,near_0355,cn,other,5979
doc_3a01a2b3af51c1b4,near_0356,raib,derailment,6827
doc_3a10861b4fa63662,near_0357,cn,other,7252
doc_3a1d4f7c9ef45091,near_0358,raib,collision,76204
doc_3a364607e21a21cc,near_0359,cn,other,1542
doc_3a41b97825953985,near_0360,raib,collision,8510
doc_3a7f7d29e85f4038,near_0361,cn,management,5134
doc_3a9cb83b38fd336b,near_0362,cn,other,5469
doc_3aab8a884020983d,near_0363,cn,construction,2169
doc_3aac8c73160a3148,near_0364,cn,other,10567
doc_3ad37cdac9cb7856,near_0365,cn,other,3595
doc_3afa0fd36c318b4b,near_0366,cn,other,2686
doc_3b3a1b960ee74a45,near_0367,cn,other,4080
doc_3b5cafa6ea41d300,near_0368,cn,other,1140
doc_3b75f002c7c1ff1a,near_0369,cn,other,9891
doc_3b85055d15992b11,near_0370,cn,emergency_drill,2335
doc_3bd3fea2ed54ebaa,near_0371,raib,derailment,4491
doc_3bdead992b201473,near_0372,raib,collision,30736
doc_3c23c00aa7a2ac42,near_0373,raib,derailment,72383
doc_3c2920b2fcf04d7e,near_0374,cn,other,1611
doc_3c655aa2bc44a32c,near_0375,cn,other,2105
doc_3cc6a0197e1455c4,near_0376,cn,management,75433
doc_3cfaaf999412e65e,near_0377,raib,collision,95119
doc_3d22719ee0035553,near_0378,cn,other,3745
doc_3dbccce9f38bae9c,near_0379,cn,other,5334
doc_3ded94af980c90b6,near_0380,raib,collision,395990
doc_3e01b0033daecd60,near_0381,raib,collision,43343
doc_3e60a60fcd8a2e6e,near_0382,cn,hazardous_material,15452
doc_3e6e86339d47bebc,near_0383,cn,other,7975
doc_3ead1e14cbc10deb,near_0384,cn,other,5796
doc_3ead264112771f37,near_0385,raib,derailment,19244
doc_3eadf80e286add1a,near_0386,cn,other,15100
doc_3ee00521401ae951,near_0387,cn,emergency_drill,1550
doc_3f1158dfda5439e4,near_0388,raib,collision,6632
doc_3f1b8d9318f718f8,near_0389,cn,other,10157
doc_3f38b0e541203499,near_0390,raib,collision,63864
doc_3f3c65f8d7ab9500,near_0391,cn,other,8124
doc_3f60de2802b44819,near_0392,cn,other,1983
doc_3f6d7f3b457fd288,near_0393,cn,other,12317
doc_4020d6530c0d8c4e,near_0394,cn,other,7506
doc_403eeddf3077f070,near_0395,cn,management,13564
doc_40683a46376cb78c,near_0396,cn,other,4854
doc_407d4dce24f30d55,near_0397,cn,other,20000
doc_40b974d11f52a01f,near_0398,cn,management,89428
doc_40d01c70a092d429,near_0399,raib,collision,86814
doc_40fed6438c17c42a,near_0400,cn,emergency_drill,2773
doc_415e6fb89514dcb3,near_0401,cn,other,8317
doc_4180faef712bc77c,near_0402,cn,other,4515
doc_41a13da28d11d7fb,near_0403,cn,other,5408
doc_41b36e31a02f32bb,near_0404,cn,other,5398
doc_41cb4362cdda1aff,near_0405,cn,other,6123
doc_41fd2a40766317e3,near_0406,cn,other,5797
doc_6595842e6825659d,near_0406,cn,other,5797
doc_4260620cd46f2e91,near_0407,cn,other,35605
doc_426cdc1225766c06,near_0408,raib,collision,106389
doc_427de770de09db2b,near_0409,raib,collision,326279
doc_428e00c8304bb03b,near_0410,cn,other,36101
doc_4343e6b0db00a0d6,near_0411,cn,other,977
doc_a7497ad533404916,near_0411,cn,other,977
doc_43861e0910ae3de6,near_0412,cn,fire,1339
doc_43a7528779689709,near_0413,cn,other,11966
doc_43b6f66ccb5ac5b1,near_0414,cn,other,140445
doc_43eef41825139891,near_0415,cn,fire,5119
doc_44257ee7f6c34e1d,near_0416,cn,management,5719
doc_4479f260fa384c30,near_0417,cn,other,111745
doc_44b446cefc3b9438,near_0418,cn,hazardous_material,4260
doc_4532c442e25bb824,near_0419,cn,management,3862
doc_45613efddf84b66b,near_0420,cn,other,3491
doc_7e3898d01d7dddd7,near_0420,cn,other,3491
doc_45af6334a9294a5a,near_0421,cn,construction,16405
doc_45b4b82100e6af3c,near_0422,cn,other,22831
doc_45ebea9b024b2dc9,near_0423,cn,hazardous_material,7715
doc_45fbfcdfe2069da4,near_0424,cn,other,5098
doc_8b758480ff1ba322,near_0424,cn,other,5098
doc_460765d8e4ff7ce1,near_0425,cn,other,2708
doc_464deb12da300c1d,near_0426,cn,other,62152
doc_466fef34d206c3ba,near_0427,cn,other,7991
doc_468746cb09e42af7,near_0428,cn,other,1772
doc_468c5f40d258bed2,near_0429,cn,other,3848
doc_46975f59e3bc79ca,near_0430,cn,hazardous_material,15280
doc_46b001b96f35a261,near_0431,cn,other,280
doc_46ec2912a268c49d,near_0432,raib,collision,58832
doc_4735a46679e932f8,near_0433,cn,management,4981
doc_475cdaea0d6f9a83,near_0434,cn,management,3797
doc_47615159b3a3ee00,near_0435,cn,hazardous_material,1629
doc_477748b958e82567,near_0436,cn,other,3864
doc_479264b4957924e9,near_0437,cn,fire,1210
doc_47ab04817428e95c,near_0438,cn,management,12474
doc_47dd1e53994a08a8,near_0439,cn,management,6229
doc_482403085365abac,near_0440,cn,other,3004
doc_482f9ef47832beb6,near_0441,cn,other,1085
doc_4837e68db3d5fa57,near_0442,cn,other,5081
doc_4844f67a5e45e0b2,near_0443,cn,management,2501
doc_4879a40bbf6e42d1,near_0444,cn,management,28330
doc_488ee99f4a9a148d,near_0445,raib,derailment,4970
doc_48dcf1f39bfc2d2d,near_0446,raib,infrastructure,5050
doc_48ff6fa781a0da9e,near_0447,cn,construction,9159
doc_491ba4423e74f9c9,near_0448,cn,emergency_drill,12815
doc_497209fa078edd54,near_0449,cn,other,1923
doc_49af50b8f92dfdcd,near_0450,cn,other,4589
doc_49d0d8c1126a3a96,near_0451,raib,collision,65027
doc_49dc1dd5ccf42b78,near_0452,cn,other,5808
doc_1410dfb1985b3313,near_0453,cn,other,9964
doc_49ec6f75f485320c,near_0453,cn,management,9964
doc_4a341c6036f111aa,near_0454,cn,other,3913
doc_4a3e9868c30c1515,near_0455,cn,other,9656
doc_4a52c4c512db5def,near_0456,cn,other,9970
doc_4a80622b155dacc8,near_0457,raib,collision,105437
doc_4aa6a17863aa0db5,near_0458,cn,fire,2573
doc_4aabd00cf26d9e7e,near_0459,cn,other,6561
doc_4ab6436cf8b96418,near_0460,cn,other,8973
doc_4ade9b55a6eb372c,near_0461,raib,derailment,31309
doc_4aff57df6b81cbb9,near_0462,cn,other,1043
doc_4b08b8617c26dcb8,near_0463,cn,management,5713
doc_4b0ebf497b5b6005,near_0464,cn,other,9874
doc_4b423dbebcbce67b,near_0465,cn,fire,1401
doc_4b5dc3f8bf8033f5,near_0466,cn,other,9638
doc_4b99934ffa58a314,near_0467,cn,other,9081
doc_4baf24e931f87125,near_0468,cn,emergency_drill,1722
doc_4bdd51507925445a,near_0469,cn,management,4285
doc_4bdf68ffceb4d834,near_0470,cn,other,7360
doc_4bfe9048c6e98d9b,near_0471,cn,other,6151
doc_4c0043fd926efe5d,near_0472,cn,management,36492
doc_4c15162bbce09af2,near_0473,cn,other,13872
doc_4c21470e5e4836c3,near_0474,cn,other,7795
doc_4c244cb3ced350ab,near_0475,raib,collision,6559
doc_4c34f421ae8997cf,near_0476,raib,derailment,109975
doc_4c80ce7cd18101eb,near_0477,cn,management,2290
doc_4cc2f03d408b09ab,near_0478,cn,emergency_drill,20785
doc_4cdea3876010691f,near_0479,cn,construction,1244
