document_id,source_group,language,category,cluster_id,relative_path,actual_format,char_count,sha256,review_status
doc_bba811c1042b46ce,cn,zh,fire,near_1088,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/施工现场消防应急预案[1].docx,docx,4437,17c1d84124f9236696c990ea9284ca706bc8595927bc7dd45b1817c016ac64f1,pilot_accepted
doc_bd7d02b1b1516acd,cn,zh,fire,near_1099,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/消防应急预案/公司消防应急预案【9页】.docx,docx,7719,0fb2cc6c16c230f7d5d9ef696721820a57adb04d467cb93dee6edf4fca0b9449,pilot_accepted
doc_ca8a9afed99ff9c1,cn,zh,fire,near_1165,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/消防应急预案/施工现场消防安全应急预案【35页】.doc,doc,13872,d6aa8beec018da327d77858701c702ba6ce9b775bcad683c74dce0fea2aee021,pending
doc_e9b7956a76d77806,cn,zh,fire,near_1339,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/消防演练计划/消防演练方案-任选一个方案.docx,docx,10329,79d50296e9f846b3a7f6dd0c5ceed971085db6829a2ce32b1c92c874a812c732,pending
doc_34b7ba3c8865766f,cn,zh,hazardous_material,near_0331,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/100份应急预案/燃气公司应急预案【120页】.doc,doc,58932,b28b926558ac4e0bb50e238dc0ce0caf8b2618d648931046f17df87dc4b0ba75,pending
doc_5687d3096307b193,cn,zh,hazardous_material,near_0537,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/危化企业安全管理制度汇编.doc,doc,59963,8e3e706ace56b3b13947ca6accf324baf6b3cf282f2956d0d7e8fc45c0d9900f,pending
doc_65beb71cd0b4a7bb,cn,zh,hazardous_material,near_0624,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/绩效评定与改进标准/危险化学品从业单位安全生产标准化评审标准.doc,doc,52880,8f605c42b1f5f03d66e2841f83c7b2db34d4d2b42df591ece32e6e56819619e8,pending
doc_74157a574b178949,cn,zh,hazardous_material,near_0711,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/02.经典版应急预案合集（129份）/03.应急演练方案（24份）/2020废液泄漏事故应急演练方案.docx,docx,5472,4968caa4d783cd8ab766736a70e9075a3cd89d246c07a35c2cf55b8bdd7c06f3,pilot_accepted
doc_8a117557952e4859,cn,zh,hazardous_material,near_0820,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【危化、电镀企业另增的台账、制度、预案】/危险化学品应急预案.docx,docx,13062,31e7fa906ddef4dc178a028b105799d23a878a6269c65a5ee49faf152c8ac6b8,pilot_accepted
doc_b428d489e0ebf26e,cn,zh,hazardous_material,near_1045,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/其他各类制度、预案/【选择性打印】制度、预案/燃气公司/燃气公司应急预案.doc,doc,58679,8cdbfe9ca4658c9a5c41d9e8cbde4ff27ee3acf07d2ce0499634cc1dfc6a6411,pending
doc_b51e1adb381d1294,cn,zh,hazardous_material,near_1047,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/2.安全生产事故应急预案/危化品生产安全事故应急预案模板【51页】.doc,doc,29224,fb107fdeb62d30842931d491391e1483120c3ddc58a4022fe6aad48f7d1c9993,pending
doc_bc3ceb5b82489c99,cn,zh,hazardous_material,near_1092,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【危化、电镀企业另增的台账、制度、预案】/化工厂各级别、各职务的安全生产责任书.docx,docx,26566,f2c7f7faf7940a1c7255f3b22e28ffa9978093e09fb63c14202c7fab2222dba4,pending
doc_cc64c6bddfa2d63c,cn,zh,hazardous_material,near_1177,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【危化、电镀企业另增的台账、制度、预案】/【化工部】化工企业安全管理制度.docx,docx,44115,e013e42ecf25c06e083f65e193190e21a751b426800305e55a61316d13ee18be,pending
doc_e090d5e71cd5651e,cn,zh,hazardous_material,near_1301,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/2.安全生产事故应急预案/XX燃气有限公司安全生产事故综合应急预案【39页】.docx,docx,25327,eea423ebb16e7a96b3e6ba40d7a0bc89234870b1c1bbc15e27347a054d2474bd,pending
doc_e3328f4dc720c3d5,cn,zh,hazardous_material,near_1313,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【危化、电镀企业另增的台账、制度、预案】/MSDS化学品安全技术说明书.docx,docx,59761,e4d2cef64a2863c6ff89a6c567019deea00cb71459381a5fc74fca365a44d607,pending
doc_1f1ccff7f534b0b8,cn,zh,management,near_0187,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【铸造厂相关资料】/某公司铸造厂管理制度.doc,doc,36516,6ee99740966c99a13bc421a444b657479db0afee614ca710a44f0a2c1d9e767d,pending
doc_3cc6a0197e1455c4,cn,zh,management,near_0376,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/安全生产操作规程/安全操作规程大全2.doc,doc,75433,882b3c57ee0046828f2be6d2f69887e64cdb029dc1c871c36774b7cca1874ee1,pending
doc_40b974d11f52a01f,cn,zh,management,near_0398,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/矿业2017版安全生产管理制度汇编.doc,doc,89428,d2bf28f9b48cce5ca4de04e42375aa6e6ddb97900f513c0d32c33e91dc545166,pending
doc_4879a40bbf6e42d1,cn,zh,management,near_0444,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】安全生产管理制度模板2.doc,doc,28330,51d7cf3803d965025ba3e8dd24526ea48ce683d10a3b50a8e667faf4496ebc14,pending
doc_4c0043fd926efe5d,cn,zh,management,near_0472,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/安全生产责任制考核表(全套).doc,doc,36492,2616dbc98343c8c7fd4992813adbf14f6ffe82df354e21466778d44fbcb0206a,pending
doc_64151970a7774f8f,cn,zh,management,near_0610,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/交通运输行业安全生产管理制度汇编.docx,docx,30495,8f81f1e789e433b08924e5882fed31f7f990e9c0bb21d8fe53e637675727531f,pending
doc_6d20151dfb67bc5b,cn,zh,management,near_0670,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【游乐园管理制度、预案】/户外游乐园安全管理方案.docx,docx,4645,31f11bac11b59fe4105672c647269dee7249be395dca943a026a32809d96f62f,pilot_accepted
doc_6fbc45c0ddf9adea,cn,zh,management,near_0683,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】企业安全生产管理制度模板3.doc,doc,21538,e22d4942ae0b7efd753359a37c8455a7292315fc701a4afa923e49b6f4accb7f,pending
doc_7f595bae8ceffc71,cn,zh,management,near_0756,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/安全风险管控制度及清单/【模板5】安全风险管理制度.docx,docx,6763,f954556f706997c77866389f3be6e2fc72b079cdd5f15978406c5d6489cca908,pilot_accepted
doc_81a53e6062b5ecd9,cn,zh,management,near_0770,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/煤炭气化业安全生产管理制度汇编(2018年修订).doc,doc,166706,890ac9d412a7f764347a22fdb99170722c0ac58d05ecf1882322f4bf2aaea5d1,pending
doc_9713caa30effdf26,cn,zh,management,near_0887,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/【通用版】安全生产管理制度模板.doc,doc,87624,8696eb7d99cd06e202748511f8c6cfeec1c2dfd84ebf346a0152524a16b24c52,pending
doc_0ac53233042ed65e,cn,zh,other,near_0068,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/化工公司安全生产规章制度汇编资料.doc,doc,216115,a8e44e4b8293f3a88c4f23d183ee1d674c4c4998cd3742e5b840b0bf0f939138,pending
doc_1a788a49b5ea0237,cn,zh,other,near_0166,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/02.经典版应急预案合集（129份）/01.行业汇编合集（25份）/01.应急预案及现场处置方案汇编.doc,doc,152451,1316cfb7ea040fd6b270b4cba1258913530d271b1fba62dd75c0f9fb2cc74118,pending
doc_2342746f1720f8c2,cn,zh,other,near_0214,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/100份应急预案/安全生产法律法规汇编【762页】.doc,doc,851597,53b0d11037699a97fe0fd59689f7a32c18cb4876ac14f38ce963ea608f78066d,pending
doc_273e49e7a9d3fc83,cn,zh,other,near_0234,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/绩效评定与改进标准/双体系建设标准(最新标准).docx,docx,8292,df1fc68a0fb9d618bef9d68824430eac426d8d2d2a79845828438605d948ae60,pilot_accepted
doc_3138f08ada1e861f,cn,zh,other,near_0299,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/02.经典版应急预案合集（129份）/04.现场处置方案（3份）/01.各类现场应急处置方案汇编（227页）.doc,doc,144064,d1bed7f312981682862b3354db86b91e72a071eea098790dfac89da0a905d3a7,pending
doc_3442ccd56f38ac20,cn,zh,other,near_0325,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/酒店安全应急预案/酒店综合应急预案模板【232页】.doc,doc,136044,53df43256d89108fcdcc0d87e42bab5b07898ccea2ab049e1bae3a4e0ba1d060,pending
