dataset,system,seed,epoch,step,loss,started_at_utc
ade,eae,42,1,95,0.00039,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,100,0.00781,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,105,0.01524,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,110,0.0176,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,115,0.00028,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,120,0.00045,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,125,0.00549,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,130,0.00069,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,135,0.01594,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,140,0.00056,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,145,0.00101,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,150,0.00987,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,155,0.00061,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,160,0.0353,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,165,0.03027,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,170,0.00722,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,175,0.03202,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,180,0.00794,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,185,0.0061,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,190,0.00098,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,195,0.00913,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,200,0.01837,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,205,0.00161,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,210,0.00213,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,215,0.00125,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,220,0.00019,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,225,0.00047,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,230,0.00871,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,235,0.00012,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,240,0.01795,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,245,0.01263,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,250,0.00027,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,255,5e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,260,7e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,265,0.00183,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,270,0.00386,2026-09-04T08:54:54.422954+00:00
